LAT,LON
34.2446,-118.4676
34.1831,-118.5638
33.9619,-118.2695
34.2247,-118.4699
33.931,-118.287
34.0663,-118.3538
34.0484,-118.4501
34.1971,-118.5762
34.152,-118.4269
34.2157,-118.4749
33.9553,-118.3827
34.2526,-118.4406
34.0566,-118.4445
34.0462,-118.5305
34.1857,-118.4618
34.2177,-118.4287
34.0648,-118.2527
34.2699,-118.4826
34.2355,-118.5574
34.0662,-118.2476
34.1482,-118.416
33.9997,-118.2629
34.2267,-118.5
34.0568,-118.2868
34.257,-118.3985
33.9859,-118.3068
34.0633,-118.2336
34.0776,-118.4693
34.2732,-118.4268
34.1921,-118.3703
34.1626,-118.3659
34.2847,-118.3943
34.0804,-118.275
34.0542,-118.2611
33.999,-118.4429
34.0853,-118.331
34.0665,-118.2662
34.1232,-118.3569
34.1,-118.3033
34.0861,-118.1688
34.2057,-118.5393
34.1745,-118.5204
34.2069,-118.4488
34.0538,-118.2667
34.1168,-118.238
34.0101,-118.2615
34.2312,-118.5632
33.9431,-118.401
34.0889,-118.3277
34.0732,-118.1632
34.1686,-118.6153
34.2137,-118.6224
34.2441,-118.445
34.0287,-118.3996
34.2828,-118.5043
33.9454,-118.3815
34.0772,-118.3113
33.9754,-118.4178
33.8781,-118.2895
33.9747,-118.3764
33.9593,-118.2651
33.9493,-118.2608
34.1749,-118.5337
34.1784,-118.3965
34.0224,-118.2524
34.1703,-118.4662
34.2234,-118.3685
33.9597,-118.4208
34.1225,-118.1818
33.9711,-118.2629
34.0409,-118.455
34.254,-118.5128
34.1232,-118.2302
33.9523,-118.3906
34.2331,-118.4409
34.0073,-118.2784
34.0607,-118.3112
34.0353,-118.3963
34.1379,-118.3689
34.1521,-118.3769
33.9976,-118.2521
34.1099,-118.2178
34.1667,-118.3917
34.1515,-118.4601
33.9523,-118.3906
34.1847,-118.429
34.1539,-118.4543
34.1039,-118.3318
34.0055,-118.2915
34.0698,-118.4872
34.0199,-118.3383
34.0359,-118.445
33.9399,-118.2916
34.0612,-118.3637
34.2199,-118.594
34.2321,-118.4938
34.244,-118.5583
34.1866,-118.4765
34.1766,-118.4589
34.2231,-118.3943
34.0328,-118.3807
34.0237,-118.3119
34.1907,-118.44
33.993,-118.2478
34.2572,-118.5951
34.2011,-118.5753
33.9951,-118.4715
34.2287,-118.5298
34.1721,-118.4443
33.9583,-118.2684
34.214,-118.3591
34.1667,-118.3654
34.0627,-118.2463
34.1613,-118.3703
34.088,-118.2571
34.034,-118.284
34.0642,-118.2771
33.9523,-118.3906
34.1716,-118.6454
34.0862,-118.3078
34.19,-118.5262
34.1792,-118.5904
34.1558,-118.3823
33.9642,-118.2761
34.0905,-118.2778
34.0377,-118.2482
34.044,-118.3529
34.1602,-118.5054
34.0788,-118.1652
34.0561,-118.302
34.0623,-118.4261
34.0691,-118.2929
34.2788,-118.3773
33.9754,-118.309
34.068,-118.2766
34.1046,-118.3461
33.9942,-118.274
34.1255,-118.1867
34.1329,-118.3645
34.2773,-118.414
34.2388,-118.2705
34.079,-118.3236
34.2904,-118.5227
34.0408,-118.3076
34.1667,-118.3702
34.0617,-118.3091
34.2085,-118.4662
34.0471,-118.3372
34.0561,-118.2981
34.0846,-118.3464
34.2144,-118.4309
34.0736,-118.3397
34.0649,-118.24
34.1035,-118.184
34.1338,-118.273
34.0408,-118.2644
34.1042,-118.305
34.1699,-118.5974
34.1949,-118.5317
34.2012,-118.5386
34.152,-118.6072
34.2102,-118.3681
34.2291,-118.6137
34.098,-118.3237
33.9655,-118.309
33.9471,-118.287
34.0495,-118.3229
34.1105,-118.2729
34.0407,-118.3791
34.0787,-118.2199
34.244,-118.5583
34.0672,-118.3054
33.9669,-118.2783
34.0313,-118.3921
34.1747,-118.4442
34.0387,-118.2079
34.1649,-118.3725
34.1015,-118.3417
34.0353,-118.3605
34.1667,-118.4004
34.0263,-118.3558
33.977,-118.309
34.2012,-118.5445
34.2573,-118.4739
34.2102,-118.3681
34.2165,-118.4636
34.0751,-118.2144
34.0871,-118.3299
34.0051,-118.4384
34.0474,-118.2496
34.2249,-118.5048
34.0595,-118.2749
34.0473,-118.2916
34.0529,-118.2819
34.1253,-118.2296
33.7978,-118.3043
33.9925,-118.2594
34.2179,-118.466
34.1783,-118.3641
33.9593,-118.2651
34.2305,-118.3768
34.1577,-118.3705
34.1594,-118.4574
34.134,-118.3597
34.2264,-118.5995
33.9292,-118.2652
34.0802,-118.3627
33.9693,-118.3918
34.0594,-118.3773
34.048,-118.2542
34.1975,-118.5088
34.1847,-118.4509
34.1822,-118.4836
34.0268,-118.2896
34.1097,-118.1926
34.2217,-118.547
33.9523,-118.3906
33.9472,-118.2739
34.0808,-118.248
34.0287,-118.4118
34.2394,-118.5112
33.9428,-118.2762
34.2221,-118.5907
34.2931,-118.4516
34.1658,-118.4973
34.2649,-118.5198
34.2602,-118.4012
34.0276,-118.3461
34.1504,-118.416
34.1418,-118.1958
34.3098,-118.4729
34.0778,-118.2186
34.0986,-118.2962
34.269,-118.5942
34.0218,-118.2706
34.0594,-118.3622
34.3122,-118.4381
34.194,-118.361
34.2263,-118.366
34.0527,-118.2926
34.0508,-118.2683
33.9857,-118.2628
33.9819,-118.4383
34.082,-118.213
