DR_NO,Crm Cd,Crm Cd Desc
212012142,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211707396,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211411289,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211114113,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211707859,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211817663,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211612837,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210807405,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211007238,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211815210,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210817593,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211716176,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210609172,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
222004005,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211014041,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212107032,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211316530,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211004290,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211612217,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211715832,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211008787,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212110897,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211009714,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212114641,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211710622,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212006820,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210710215,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212111837,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211710729,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211611367,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212010287,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210512511,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
210617273,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211015209,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212112435,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
212112351,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211714907,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
211711551,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
