DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd
231108757,05/09/2023 12:00:00 AM,05/08/2020 12:00:00 AM,2023,11,Northeast,1101,1,330
221404806,01/19/2022 12:00:00 AM,01/18/2020 12:00:00 AM,1600,14,Pacific,1446,1,420
220215983,09/06/2022 12:00:00 AM,05/26/2020 12:00:00 AM,1200,2,Rampart,233,1,420
211220472,09/27/2021 12:00:00 AM,11/26/2020 12:00:00 AM,2000,12,77th Street,1259,2,930
211818877,10/22/2021 12:00:00 AM,03/10/2020 12:00:00 AM,1500,18,Southeast,1801,2,354
221515929,10/10/2022 12:00:00 AM,04/01/2020 12:00:00 AM,1200,15,N Hollywood,1539,2,354
230406865,03/28/2023 12:00:00 AM,06/28/2020 12:00:00 AM,1250,4,Hollenbeck,478,2,354
231915767,10/25/2023 12:00:00 AM,09/02/2020 12:00:00 AM,1,19,Mission,1985,2,354
221016530,11/15/2022 12:00:00 AM,10/23/2020 12:00:00 AM,1735,10,West Valley,1045,2,354
231210407,04/18/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1,12,77th Street,1259,2,354
220208037,03/30/2022 12:00:00 AM,01/01/2020 12:00:00 AM,800,2,Rampart,249,2,813
221504294,01/06/2022 12:00:00 AM,10/30/2020 12:00:00 AM,1,15,N Hollywood,1535,2,812
221312369,06/03/2022 12:00:00 AM,12/10/2020 12:00:00 AM,700,13,Newton,1333,2,354
220911866,07/26/2022 12:00:00 AM,02/01/2020 12:00:00 AM,505,9,Van Nuys,971,2,354
231906599,03/03/2023 12:00:00 AM,01/14/2020 12:00:00 AM,1335,19,Mission,1902,2,354
230610629,06/02/2023 12:00:00 AM,05/31/2020 12:00:00 AM,430,6,Hollywood,645,1,310
220321807,12/13/2022 12:00:00 AM,05/17/2020 12:00:00 AM,1620,3,Southwest,317,2,354
221216052,07/07/2022 12:00:00 AM,02/23/2020 12:00:00 AM,1000,12,77th Street,1256,2,354
241504067,01/02/2024 12:00:00 AM,12/29/2020 12:00:00 AM,750,15,N Hollywood,1555,2,903
220508440,04/27/2022 12:00:00 AM,07/07/2020 12:00:00 AM,1200,5,Harbor,585,1,341
220213256,07/14/2022 12:00:00 AM,07/14/2020 12:00:00 AM,900,2,Rampart,257,2,354
221607555,04/22/2022 12:00:00 AM,08/01/2020 12:00:00 AM,1200,16,Foothill,1612,2,354
221516944,11/03/2022 12:00:00 AM,06/01/2020 12:00:00 AM,1200,15,N Hollywood,1517,2,354
230617817,11/14/2023 12:00:00 AM,11/13/2020 12:00:00 AM,2015,6,Hollywood,622,1,420
231115685,11/12/2023 12:00:00 AM,11/12/2020 12:00:00 AM,1430,11,Northeast,1123,1,440
231707687,04/04/2023 12:00:00 AM,05/08/2020 12:00:00 AM,1845,17,Devonshire,1745,2,354
230711357,06/26/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1,7,Wilshire,774,2,354
220409258,05/29/2022 12:00:00 AM,03/29/2020 12:00:00 AM,1315,4,Hollenbeck,467,2,354
220119956,09/06/2022 12:00:00 AM,07/01/2020 12:00:00 AM,1130,1,Central,162,2,354
240604173,01/05/2024 12:00:00 AM,07/09/2020 12:00:00 AM,1230,6,Hollywood,637,2,354
220104934,01/17/2022 12:00:00 AM,12/20/2020 12:00:00 AM,1730,1,Central,158,1,341
230817493,11/27/2023 12:00:00 AM,09/13/2020 12:00:00 AM,2100,8,West LA,829,2,626
221718084,12/20/2022 12:00:00 AM,12/02/2020 12:00:00 AM,1510,17,Devonshire,1764,1,440
221110929,06/28/2022 12:00:00 AM,06/27/2020 12:00:00 AM,1945,11,Northeast,1113,1,330
231711735,06/07/2023 12:00:00 AM,09/02/2020 12:00:00 AM,800,17,Devonshire,1775,2,354
231912127,07/26/2023 12:00:00 AM,01/26/2020 12:00:00 AM,1735,19,Mission,1913,2,354
231818830,11/01/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1,18,Southeast,1841,2,762
221710268,06/21/2022 12:00:00 AM,05/20/2020 12:00:00 AM,600,17,Devonshire,1767,1,441
231007464,03/30/2023 12:00:00 AM,06/25/2020 12:00:00 AM,1225,10,West Valley,1015,2,354
221917823,12/12/2022 12:00:00 AM,04/05/2020 12:00:00 AM,1550,19,Mission,1921,2,354
211404152,01/04/2021 12:00:00 AM,12/28/2020 12:00:00 AM,1600,14,Pacific,1463,1,310
231205374,01/25/2023 12:00:00 AM,10/12/2020 12:00:00 AM,1200,12,77th Street,1263,2,354
231505589,02/08/2023 12:00:00 AM,09/01/2020 12:00:00 AM,1200,15,N Hollywood,1557,2,812
231420506,11/06/2023 12:00:00 AM,04/02/2020 12:00:00 AM,1825,14,Pacific,1445,2,354
221508505,04/20/2022 12:00:00 AM,12/31/2020 12:00:00 AM,1200,15,N Hollywood,1525,1,420
231817823,10/13/2023 12:00:00 AM,08/23/2020 12:00:00 AM,1,18,Southeast,1846,2,354
231212586,05/24/2023 12:00:00 AM,06/03/2020 12:00:00 AM,2150,12,77th Street,1241,2,354
220309099,04/14/2022 12:00:00 AM,06/23/2020 12:00:00 AM,1530,3,Southwest,311,2,354
230810411,06/02/2023 12:00:00 AM,05/28/2020 12:00:00 AM,609,8,West LA,827,2,930
201810154,04/26/2020 12:00:00 AM,04/22/2020 12:00:00 AM,1900,18,Southeast,1802,1,510
221412410,06/15/2022 12:00:00 AM,11/12/2020 12:00:00 AM,1700,14,Pacific,1444,1,420
211505284,02/02/2021 12:00:00 AM,12/27/2020 12:00:00 AM,2000,15,N Hollywood,1585,1,330
220209598,04/25/2022 12:00:00 AM,12/29/2020 12:00:00 AM,800,2,Rampart,238,2,956
220316688,09/12/2022 12:00:00 AM,09/11/2020 12:00:00 AM,2100,3,Southwest,357,1,331
231814007,07/27/2023 12:00:00 AM,10/27/2020 12:00:00 AM,915,18,Southeast,1849,2,354
221209581,04/07/2022 12:00:00 AM,01/01/2020 12:00:00 AM,800,12,77th Street,1215,2,812
220917870,12/31/2022 12:00:00 AM,03/16/2020 12:00:00 AM,1025,9,Van Nuys,929,2,354
221017007,11/28/2022 12:00:00 AM,04/23/2020 12:00:00 AM,1,10,West Valley,1041,2,354
232112058,07/25/2023 12:00:00 AM,04/26/2020 12:00:00 AM,2110,21,Topanga,2198,2,956
220313293,07/06/2022 12:00:00 AM,06/30/2020 12:00:00 AM,1400,3,Southwest,396,2,626
220320985,07/07/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1200,3,Southwest,311,2,813
221909318,05/09/2022 12:00:00 AM,05/08/2020 12:00:00 AM,1120,19,Mission,1954,1,330
231510293,05/27/2023 12:00:00 AM,11/24/2020 12:00:00 AM,200,15,N Hollywood,1504,1,510
230714162,09/02/2023 12:00:00 AM,08/03/2020 12:00:00 AM,1908,7,Wilshire,783,2,354
221110658,06/21/2022 12:00:00 AM,02/28/2020 12:00:00 AM,1625,11,Northeast,1144,2,354
220207597,03/21/2022 12:00:00 AM,10/01/2020 12:00:00 AM,2200,2,Rampart,291,1,210
221713038,08/31/2022 12:00:00 AM,03/10/2020 12:00:00 AM,1800,17,Devonshire,1767,2,662
221105273,02/04/2022 12:00:00 AM,02/02/2020 12:00:00 AM,1200,11,Northeast,1179,1,420
230710696,06/11/2023 12:00:00 AM,12/17/2020 12:00:00 AM,1,7,Wilshire,722,2,354
231510050,05/22/2023 12:00:00 AM,05/08/2020 12:00:00 AM,1200,15,N Hollywood,1548,2,626
230911729,06/10/2023 12:00:00 AM,04/01/2020 12:00:00 AM,5,9,Van Nuys,911,2,354
221209383,03/30/2022 12:00:00 AM,02/25/2020 12:00:00 AM,1930,12,77th Street,1207,2,354
220211619,05/07/2022 12:00:00 AM,12/16/2020 12:00:00 AM,457,2,Rampart,231,1,330
231105297,02/03/2023 12:00:00 AM,07/27/2020 12:00:00 AM,1000,11,Northeast,1152,2,354
232011006,06/02/2023 12:00:00 AM,06/01/2020 12:00:00 AM,1200,20,Olympic,2071,2,662
221308122,03/10/2022 12:00:00 AM,03/10/2020 12:00:00 AM,35,13,Newton,1324,2,354
201410122,04/28/2020 12:00:00 AM,04/28/2020 12:00:00 AM,100,14,Pacific,1406,1,510
231709319,05/07/2023 12:00:00 AM,12/14/2020 12:00:00 AM,1545,17,Devonshire,1718,2,354
221917253,11/25/2022 12:00:00 AM,06/15/2020 12:00:00 AM,1200,19,Mission,1981,1,420
220204234,01/05/2022 12:00:00 AM,12/20/2020 12:00:00 AM,815,2,Rampart,269,2,354
220604399,01/10/2022 12:00:00 AM,09/19/2020 12:00:00 AM,1600,6,Hollywood,668,2,354
231320297,11/08/2023 12:00:00 AM,05/08/2020 12:00:00 AM,1120,13,Newton,1383,2,354
221511470,06/22/2022 12:00:00 AM,07/11/2020 12:00:00 AM,1200,15,N Hollywood,1541,2,354
221516098,10/13/2022 12:00:00 AM,10/13/2020 12:00:00 AM,1200,15,N Hollywood,1557,2,860
230118041,08/16/2023 12:00:00 AM,08/27/2020 12:00:00 AM,2100,1,Central,132,1,236
221205458,01/15/2022 12:00:00 AM,10/10/2020 12:00:00 AM,820,12,77th Street,1267,1,820
231315967,08/21/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1530,13,Newton,1362,2,812
220514938,10/16/2022 12:00:00 AM,07/01/2020 12:00:00 AM,1800,5,Harbor,504,2,812
230606306,02/24/2023 12:00:00 AM,03/20/2020 12:00:00 AM,1800,6,Hollywood,622,2,661
