DR_NO,Date Rptd,DATE OCC,TIME OCC
200512219,07/24/2020 12:00:00 AM,07/20/2020 12:00:00 AM,700
200110297,04/11/2020 12:00:00 AM,04/10/2020 12:00:00 AM,145
201900889,09/23/2020 12:00:00 AM,09/23/2020 12:00:00 AM,1840
201320983,12/08/2020 12:00:00 AM,12/08/2020 12:00:00 AM,1215
201712456,08/22/2020 12:00:00 AM,08/22/2020 12:00:00 AM,2200
201704781,01/20/2020 12:00:00 AM,01/20/2020 12:00:00 AM,2015
200310707,05/02/2020 12:00:00 AM,05/02/2020 12:00:00 AM,50
201909096,04/25/2020 12:00:00 AM,04/25/2020 12:00:00 AM,1050
201508079,03/26/2020 12:00:00 AM,03/13/2020 12:00:00 AM,530
200400504,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2200
201200789,07/23/2020 12:00:00 AM,07/23/2020 12:00:00 AM,2220
200713833,09/14/2020 12:00:00 AM,09/14/2020 12:00:00 AM,1215
200400661,03/05/2020 12:00:00 AM,03/05/2020 12:00:00 AM,1010
200109365,03/18/2020 12:00:00 AM,03/18/2020 12:00:00 AM,1300
200510689,06/16/2020 12:00:00 AM,06/16/2020 12:00:00 AM,2124
200415886,12/12/2020 12:00:00 AM,12/12/2020 12:00:00 AM,2035
201218202,08/09/2020 12:00:00 AM,08/09/2020 12:00:00 AM,2300
201500553,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,2130
201912178,07/15/2020 12:00:00 AM,07/15/2020 12:00:00 AM,1600
200906094,02/16/2020 12:00:00 AM,02/16/2020 12:00:00 AM,715
201210709,04/11/2020 12:00:00 AM,04/11/2020 12:00:00 AM,5
200406840,03/12/2020 12:00:00 AM,03/12/2020 12:00:00 AM,2330
201005072,01/26/2020 12:00:00 AM,01/26/2020 12:00:00 AM,2030
201012458,08/26/2020 12:00:00 AM,08/26/2020 12:00:00 AM,2330
201819837,10/31/2020 12:00:00 AM,10/31/2020 12:00:00 AM,2020
200312638,06/12/2020 12:00:00 AM,06/12/2020 12:00:00 AM,1550
201413975,07/18/2020 12:00:00 AM,07/18/2020 12:00:00 AM,1345
201108488,04/18/2020 12:00:00 AM,04/18/2020 12:00:00 AM,1530
201200921,10/04/2020 12:00:00 AM,10/04/2020 12:00:00 AM,1807
201207357,02/17/2020 12:00:00 AM,02/08/2020 12:00:00 AM,1000
201221556,09/28/2020 12:00:00 AM,09/28/2020 12:00:00 AM,1
200115583,07/30/2020 12:00:00 AM,07/29/2020 12:00:00 AM,1
200917249,11/15/2020 12:00:00 AM,11/14/2020 12:00:00 AM,2050
201809136,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,1430
200317378,09/15/2020 12:00:00 AM,09/15/2020 12:00:00 AM,950
202011754,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,2200
201911793,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,2145
201312716,06/22/2020 12:00:00 AM,06/22/2020 12:00:00 AM,1915
202016829,11/06/2020 12:00:00 AM,11/06/2020 12:00:00 AM,2245
201612077,08/17/2020 12:00:00 AM,08/14/2020 12:00:00 AM,1715
201004389,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1600
200113127,06/09/2020 12:00:00 AM,06/09/2020 12:00:00 AM,730
201009603,06/01/2020 12:00:00 AM,06/01/2020 12:00:00 AM,1900
200404583,01/16/2020 12:00:00 AM,01/16/2020 12:00:00 AM,128
200704143,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1250
200408301,04/28/2020 12:00:00 AM,04/28/2020 12:00:00 AM,1830
200607931,03/15/2020 12:00:00 AM,03/15/2020 12:00:00 AM,40
201500618,02/09/2020 12:00:00 AM,02/09/2020 12:00:00 AM,2220
201512387,07/08/2020 12:00:00 AM,07/07/2020 12:00:00 AM,1400
201819567,10/27/2020 12:00:00 AM,10/27/2020 12:00:00 AM,1
201221242,09/23/2020 12:00:00 AM,09/23/2020 12:00:00 AM,1535
200915239,09/28/2020 12:00:00 AM,09/28/2020 12:00:00 AM,1815
200614025,08/16/2020 12:00:00 AM,08/16/2020 12:00:00 AM,130
202011585,06/29/2020 12:00:00 AM,06/29/2020 12:00:00 AM,1310
201205787,01/26/2020 12:00:00 AM,01/26/2020 12:00:00 AM,2245
200807061,03/07/2020 12:00:00 AM,03/07/2020 12:00:00 AM,1955
201917353,11/25/2020 12:00:00 AM,11/25/2020 12:00:00 AM,1200
200211040,06/07/2020 12:00:00 AM,06/07/2020 12:00:00 AM,230
200704214,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,2001
201813006,06/24/2020 12:00:00 AM,06/23/2020 12:00:00 AM,2330
201204430,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,230
201213433,05/21/2020 12:00:00 AM,05/21/2020 12:00:00 AM,1418
201014040,10/15/2020 12:00:00 AM,10/15/2020 12:00:00 AM,230
201201023,12/17/2020 12:00:00 AM,12/17/2020 12:00:00 AM,1710
202008283,04/05/2020 12:00:00 AM,04/05/2020 12:00:00 AM,220
202017927,12/02/2020 12:00:00 AM,12/02/2020 12:00:00 AM,2040
201313371,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,2100
200218855,12/21/2020 12:00:00 AM,12/21/2020 12:00:00 AM,1840
200218916,12/23/2020 12:00:00 AM,12/23/2020 12:00:00 AM,700
210904109,01/04/2021 12:00:00 AM,12/27/2020 12:00:00 AM,2000
201316900,09/12/2020 12:00:00 AM,09/12/2020 12:00:00 AM,1820
201608079,04/14/2020 12:00:00 AM,04/14/2020 12:00:00 AM,100
201215365,06/25/2020 12:00:00 AM,06/25/2020 12:00:00 AM,1635
200211618,06/21/2020 12:00:00 AM,06/09/2020 12:00:00 AM,1800
201817541,09/20/2020 12:00:00 AM,09/20/2020 12:00:00 AM,1835
200712403,08/04/2020 12:00:00 AM,08/04/2020 12:00:00 AM,2010
201809325,04/08/2020 12:00:00 AM,04/08/2020 12:00:00 AM,2215
202100607,02/29/2020 12:00:00 AM,02/29/2020 12:00:00 AM,56
200314044,07/11/2020 12:00:00 AM,07/11/2020 12:00:00 AM,1830
201809282,04/07/2020 12:00:00 AM,04/07/2020 12:00:00 AM,2330
202014105,09/01/2020 12:00:00 AM,09/01/2020 12:00:00 AM,940
201417687,09/23/2020 12:00:00 AM,09/23/2020 12:00:00 AM,2150
200115560,07/29/2020 12:00:00 AM,07/24/2020 12:00:00 AM,2000
201204423,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,2100
201813407,07/03/2020 12:00:00 AM,07/03/2020 12:00:00 AM,30
201300740,05/22/2020 12:00:00 AM,05/21/2020 12:00:00 AM,1330
200218197,12/04/2020 12:00:00 AM,11/29/2020 12:00:00 AM,2100
201716538,12/22/2020 12:00:00 AM,12/22/2020 12:00:00 AM,2320
200907895,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,1040
200709156,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,1945
200309861,04/13/2020 12:00:00 AM,04/13/2020 12:00:00 AM,2130
201812699,06/18/2020 12:00:00 AM,06/18/2020 12:00:00 AM,16
201223842,11/02/2020 12:00:00 AM,11/02/2020 12:00:00 AM,940
201109463,05/18/2020 12:00:00 AM,05/17/2020 12:00:00 AM,2300
200213277,08/02/2020 12:00:00 AM,08/02/2020 12:00:00 AM,500
201907636,03/14/2020 12:00:00 AM,03/14/2020 12:00:00 AM,2145
200917962,12/02/2020 12:00:00 AM,12/01/2020 12:00:00 AM,2200
201819254,10/21/2020 12:00:00 AM,10/21/2020 12:00:00 AM,5
200513158,08/19/2020 12:00:00 AM,08/19/2020 12:00:00 AM,1400
200913850,08/22/2020 12:00:00 AM,08/22/2020 12:00:00 AM,1440
211310934,06/08/2021 12:00:00 AM,03/10/2020 12:00:00 AM,1500
201501144,12/25/2020 12:00:00 AM,12/25/2020 12:00:00 AM,2145
