DR_NO,Date Rptd,DATE OCC,TIME OCC
200315040,07/30/2020 12:00:00 AM,07/30/2020 12:00:00 AM,1800
201211490,04/23/2020 12:00:00 AM,04/23/2020 12:00:00 AM,2150
201010643,07/03/2020 12:00:00 AM,07/03/2020 12:00:00 AM,800
202105999,02/13/2020 12:00:00 AM,02/13/2020 12:00:00 AM,1820
201013730,10/04/2020 12:00:00 AM,10/04/2020 12:00:00 AM,2200
201415400,08/12/2020 12:00:00 AM,08/12/2020 12:00:00 AM,1150
201011943,08/11/2020 12:00:00 AM,08/11/2020 12:00:00 AM,1000
201713955,10/02/2020 12:00:00 AM,10/02/2020 12:00:00 AM,2030
200411881,08/18/2020 12:00:00 AM,08/18/2020 12:00:00 AM,1344
201207774,02/24/2020 12:00:00 AM,02/21/2020 12:00:00 AM,2125
201013497,09/27/2020 12:00:00 AM,09/26/2020 12:00:00 AM,1500
202006182,02/15/2020 12:00:00 AM,02/15/2020 12:00:00 AM,830
201716568,12/23/2020 12:00:00 AM,12/07/2020 12:00:00 AM,1843
200309964,04/14/2020 12:00:00 AM,04/13/2020 12:00:00 AM,2330
201715230,11/10/2020 12:00:00 AM,10/14/2020 12:00:00 AM,1700
200105139,01/16/2020 12:00:00 AM,01/16/2020 12:00:00 AM,1900
201606519,03/02/2020 12:00:00 AM,03/01/2020 12:00:00 AM,1650
200314776,07/24/2020 12:00:00 AM,07/24/2020 12:00:00 AM,1623
200316615,09/01/2020 12:00:00 AM,09/01/2020 12:00:00 AM,730
201609558,05/27/2020 12:00:00 AM,05/27/2020 12:00:00 AM,1415
200211809,06/25/2020 12:00:00 AM,06/25/2020 12:00:00 AM,1915
201013109,09/16/2020 12:00:00 AM,09/16/2020 12:00:00 AM,120
201705843,02/11/2020 12:00:00 AM,02/11/2020 12:00:00 AM,1940
201010949,07/14/2020 12:00:00 AM,06/19/2020 12:00:00 AM,1900
202112704,08/13/2020 12:00:00 AM,08/13/2020 12:00:00 AM,1950
201308754,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,1430
201608318,04/21/2020 12:00:00 AM,04/21/2020 12:00:00 AM,700
200805991,02/13/2020 12:00:00 AM,02/13/2020 12:00:00 AM,1540
200806398,02/19/2020 12:00:00 AM,02/19/2020 12:00:00 AM,900
202114168,09/25/2020 12:00:00 AM,09/25/2020 12:00:00 AM,135
200715415,10/28/2020 12:00:00 AM,10/28/2020 12:00:00 AM,1955
200910961,06/12/2020 12:00:00 AM,06/12/2020 12:00:00 AM,810
200321184,12/02/2020 12:00:00 AM,12/01/2020 12:00:00 AM,2000
201320833,12/04/2020 12:00:00 AM,12/04/2020 12:00:00 AM,900
200405511,02/09/2020 12:00:00 AM,02/08/2020 12:00:00 AM,2100
201906743,02/25/2020 12:00:00 AM,02/22/2020 12:00:00 AM,1910
201815297,08/09/2020 12:00:00 AM,08/09/2020 12:00:00 AM,1820
201911975,07/10/2020 12:00:00 AM,07/10/2020 12:00:00 AM,1230
200407981,04/19/2020 12:00:00 AM,04/19/2020 12:00:00 AM,1850
202108903,05/03/2020 12:00:00 AM,05/03/2020 12:00:00 AM,1220
202111756,07/18/2020 12:00:00 AM,07/18/2020 12:00:00 AM,1045
200715609,11/03/2020 12:00:00 AM,11/03/2020 12:00:00 AM,1400
201016128,12/15/2020 12:00:00 AM,12/14/2020 12:00:00 AM,1418
201209207,03/15/2020 12:00:00 AM,03/13/2020 12:00:00 AM,700
202108904,05/03/2020 12:00:00 AM,05/03/2020 12:00:00 AM,1220
202109697,05/23/2020 12:00:00 AM,05/21/2020 12:00:00 AM,1353
201711768,08/01/2020 12:00:00 AM,08/01/2020 12:00:00 AM,1520
202109379,05/15/2020 12:00:00 AM,04/14/2020 12:00:00 AM,800
211710805,07/20/2021 12:00:00 AM,07/20/2021 12:00:00 AM,1045
212115300,10/17/2021 12:00:00 AM,10/17/2021 12:00:00 AM,930
211914046,10/04/2021 12:00:00 AM,10/04/2021 12:00:00 AM,1200
210320632,12/24/2021 12:00:00 AM,12/24/2021 12:00:00 AM,610
211116674,12/20/2021 12:00:00 AM,12/19/2021 12:00:00 AM,2000
211712567,09/14/2021 12:00:00 AM,09/11/2021 12:00:00 AM,1800
212016640,11/05/2021 12:00:00 AM,11/05/2021 12:00:00 AM,1200
211104767,01/23/2021 12:00:00 AM,01/15/2021 12:00:00 AM,430
211009834,07/05/2021 12:00:00 AM,07/05/2021 12:00:00 AM,2130
212113640,09/09/2021 12:00:00 AM,09/08/2021 12:00:00 AM,2320
211009590,06/28/2021 12:00:00 AM,06/28/2021 12:00:00 AM,1955
211305802,02/11/2021 12:00:00 AM,02/11/2021 12:00:00 AM,1310
210319305,11/24/2021 12:00:00 AM,11/23/2021 12:00:00 AM,630
211217093,08/04/2021 12:00:00 AM,08/03/2021 12:00:00 AM,2200
211706407,03/11/2021 12:00:00 AM,03/11/2021 12:00:00 AM,630
211711604,08/16/2021 12:00:00 AM,08/16/2021 12:00:00 AM,800
211711455,08/11/2021 12:00:00 AM,08/11/2021 12:00:00 AM,22
212113873,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,830
211115744,11/25/2021 12:00:00 AM,11/23/2021 12:00:00 AM,1630
212012166,07/27/2021 12:00:00 AM,07/27/2021 12:00:00 AM,1145
211707934,04/28/2021 12:00:00 AM,04/28/2021 12:00:00 AM,900
211710085,06/28/2021 12:00:00 AM,06/26/2021 12:00:00 AM,940
210707752,04/16/2021 12:00:00 AM,04/15/2021 12:00:00 AM,1724
211714500,10/30/2021 12:00:00 AM,10/30/2021 12:00:00 AM,600
212008760,05/02/2021 12:00:00 AM,05/02/2021 12:00:00 AM,1710
210415395,11/30/2021 12:00:00 AM,11/29/2021 12:00:00 AM,1920
210511763,07/23/2021 12:00:00 AM,07/23/2021 12:00:00 AM,745
212116387,11/12/2021 12:00:00 AM,11/11/2021 12:00:00 AM,920
212014782,09/26/2021 12:00:00 AM,09/26/2021 12:00:00 AM,1545
210205652,02/11/2021 12:00:00 AM,02/11/2021 12:00:00 AM,1515
211812217,06/18/2021 12:00:00 AM,06/18/2021 12:00:00 AM,1150
211813525,07/13/2021 12:00:00 AM,07/13/2021 12:00:00 AM,1540
212108390,05/02/2021 12:00:00 AM,05/01/2021 12:00:00 AM,2340
211800769,12/22/2021 12:00:00 AM,12/22/2021 12:00:00 AM,2320
212106185,03/04/2021 12:00:00 AM,03/02/2021 12:00:00 AM,1810
210407807,04/20/2021 12:00:00 AM,04/19/2021 12:00:00 AM,2240
211710386,07/07/2021 12:00:00 AM,07/07/2021 12:00:00 AM,104
210909724,05/26/2021 12:00:00 AM,05/11/2021 12:00:00 AM,2150
212112689,08/16/2021 12:00:00 AM,08/16/2021 12:00:00 AM,1250
211913212,09/13/2021 12:00:00 AM,09/12/2021 12:00:00 AM,1145
211715317,11/21/2021 12:00:00 AM,11/21/2021 12:00:00 AM,830
210206345,02/28/2021 12:00:00 AM,02/28/2021 12:00:00 AM,900
211910375,06/29/2021 12:00:00 AM,06/29/2021 12:00:00 AM,1717
211014925,11/24/2021 12:00:00 AM,11/21/2021 12:00:00 AM,1440
211707424,04/13/2021 12:00:00 AM,04/13/2021 12:00:00 AM,1404
212113998,09/17/2021 12:00:00 AM,09/17/2021 12:00:00 AM,1440
211012418,09/16/2021 12:00:00 AM,09/16/2021 12:00:00 AM,1900
211013121,10/01/2021 12:00:00 AM,10/01/2021 12:00:00 AM,1400
212109689,06/03/2021 12:00:00 AM,06/03/2021 12:00:00 AM,1650
212113014,08/24/2021 12:00:00 AM,08/24/2021 12:00:00 AM,330
211014993,11/26/2021 12:00:00 AM,11/26/2021 12:00:00 AM,930
210313226,07/19/2021 12:00:00 AM,07/19/2021 12:00:00 AM,1430
210414349,10/28/2021 12:00:00 AM,10/22/2021 12:00:00 AM,1255
211510413,06/12/2021 12:00:00 AM,06/12/2021 12:00:00 AM,1041
211704144,01/02/2021 12:00:00 AM,01/02/2021 12:00:00 AM,1950
211611243,09/06/2021 12:00:00 AM,09/06/2021 12:00:00 AM,2110
211707836,04/26/2021 12:00:00 AM,04/26/2021 12:00:00 AM,1028
212111729,07/23/2021 12:00:00 AM,07/23/2021 12:00:00 AM,150
210416257,12/27/2021 12:00:00 AM,12/27/2021 12:00:00 AM,1730
211706760,03/21/2021 12:00:00 AM,03/17/2021 12:00:00 AM,1715
211706783,03/22/2021 12:00:00 AM,03/19/2021 12:00:00 AM,1830
210405649,02/14/2021 12:00:00 AM,02/14/2021 12:00:00 AM,1725
211704297,01/10/2021 12:00:00 AM,01/10/2021 12:00:00 AM,810
212109464,05/29/2021 12:00:00 AM,05/29/2021 12:00:00 AM,1059
211015906,12/21/2021 12:00:00 AM,12/21/2021 12:00:00 AM,1250
211711548,08/14/2021 12:00:00 AM,08/14/2021 12:00:00 AM,1100
210806513,03/03/2021 12:00:00 AM,03/03/2021 12:00:00 AM,1820
210412525,09/04/2021 12:00:00 AM,09/04/2021 12:00:00 AM,1
211007820,05/07/2021 12:00:00 AM,05/07/2021 12:00:00 AM,1500
211005040,02/03/2021 12:00:00 AM,02/02/2021 12:00:00 AM,1500
210404435,01/13/2021 12:00:00 AM,01/13/2021 12:00:00 AM,150
211910423,06/25/2021 12:00:00 AM,06/24/2021 12:00:00 AM,1530
211015161,12/01/2021 12:00:00 AM,12/01/2021 12:00:00 AM,1030
210319221,11/21/2021 12:00:00 AM,11/21/2021 12:00:00 AM,1015
210406359,03/06/2021 12:00:00 AM,03/06/2021 12:00:00 AM,1310
212111906,07/23/2021 12:00:00 AM,07/23/2021 12:00:00 AM,339
211712513,09/13/2021 12:00:00 AM,09/13/2021 12:00:00 AM,1100
211007917,05/12/2021 12:00:00 AM,05/12/2021 12:00:00 AM,1330
211708459,05/14/2021 12:00:00 AM,05/14/2021 12:00:00 AM,1305
210310037,05/08/2021 12:00:00 AM,05/08/2021 12:00:00 AM,2030
210212790,08/02/2021 12:00:00 AM,08/02/2021 12:00:00 AM,130
212109894,06/08/2021 12:00:00 AM,06/08/2021 12:00:00 AM,2030
211304617,01/14/2021 12:00:00 AM,01/14/2021 12:00:00 AM,1530
210817587,12/13/2021 12:00:00 AM,12/13/2021 12:00:00 AM,1930
211008774,06/05/2021 12:00:00 AM,06/05/2021 12:00:00 AM,1320
211113464,09/27/2021 12:00:00 AM,09/23/2021 12:00:00 AM,430
211912673,08/30/2021 12:00:00 AM,08/30/2021 12:00:00 AM,1530
