DR_NO	Date Rptd	DATE OCC	TIME OCC	AREA	AREA NAME	Rpt Dist No	Part 1-2	Crm Cd	Vict Age	Vict Sex	Vict Descent	LAT	LON
221809652	04/22/2022 12:00:00 AM	07/20/2020 12:00:00 AM	630	18	Southeast	1822	2	354	31	M	H	33.9501	-118.2739
230406446	03/16/2023 12:00:00 AM	03/15/2020 12:00:00 AM	1620	4	Hollenbeck	454	2	354	48	F	H	34.0453	-118.2197
211209532	04/01/2021 12:00:00 AM	10/18/2020 12:00:00 AM	1225	12	77th Street	1203	2	930	48	F	H	33.999	-118.3133
230207636	03/18/2023 12:00:00 AM	01/01/2020 12:00:00 AM	900	2	Rampart	238	2	354	51	F	H	34.0648	-118.2559
221206083	02/04/2022 12:00:00 AM	01/25/2020 12:00:00 AM	1	12	77th Street	1251	2	354	70	F	B	33.9727	-118.3299
221811443	05/26/2022 12:00:00 AM	02/02/2020 12:00:00 AM	2053	18	Southeast	1827	2	354	36	F	B	33.945	-118.2413
220208285	03/30/2022 12:00:00 AM	06/30/2020 12:00:00 AM	930	2	Rampart	269	2	354	20	M	O	34.0523	-118.2699
231009710	05/30/2023 12:00:00 AM	01/04/2020 12:00:00 AM	1935	10	West Valley	1025	2	354	27	M	W	34.1948	-118.5253
220506283	03/01/2022 12:00:00 AM	01/01/2020 12:00:00 AM	1200	5	Harbor	506	1	510	0			33.828	-118.3038
220410114	06/22/2022 12:00:00 AM	01/01/2020 12:00:00 AM	1220	4	Hollenbeck	479	2	354	23	F	H	34.0243	-118.1931
222117263	12/01/2022 12:00:00 AM	01/01/2020 12:00:00 AM	1100	21	Topanga	2137	2	354	38	M	H	34.2029	-118.5928
220406802	03/25/2022 12:00:00 AM	03/24/2020 12:00:00 AM	245	4	Hollenbeck	411	1	510	0			34.0768	-118.2228
221320934	11/14/2022 12:00:00 AM	04/27/2020 12:00:00 AM	2300	13	Newton	1331	1	121	53	F	H	34.0225	-118.2702
221306072	02/09/2022 12:00:00 AM	08/05/2020 12:00:00 AM	1240	13	Newton	1333	2	354	20	M	B	34.019	-118.2606
221614062	11/07/2022 12:00:00 AM	02/26/2020 12:00:00 AM	1200	16	Foothill	1675	2	354	48	F	H	34.2273	-118.3686
222105110	01/28/2022 12:00:00 AM	09/07/2020 12:00:00 AM	1200	21	Topanga	2102	2	354	41	M	W	34.2193	-118.6322
221407828	03/18/2022 12:00:00 AM	08/19/2020 12:00:00 AM	1800	14	Pacific	1479	1	330	60	M	H	33.9678	-118.3742
220505521	02/08/2022 12:00:00 AM	10/01/2020 12:00:00 AM	1	5	Harbor	518	2	653	42	M	H	33.7926	-118.2586
230406805	03/26/2023 12:00:00 AM	02/10/2020 12:00:00 AM	1400	4	Hollenbeck	462	1	440	20	F	H	34.0362	-118.2199
231210177	04/14/2023 12:00:00 AM	04/22/2020 12:00:00 AM	1200	12	77th Street	1255	1	341	-2	M	W	33.9709	-118.3035
230304767	01/17/2023 12:00:00 AM	01/01/2020 12:00:00 AM	900	3	Southwest	361	2	354	72	M	H	34.0183	-118.3536
221607048	04/05/2022 12:00:00 AM	12/01/2020 12:00:00 AM	1500	16	Foothill	1658	2	354	32	M	O	34.2539	-118.2843
210505803	02/15/2021 12:00:00 AM	11/01/2020 12:00:00 AM	1	5	Harbor	565	2	668	0	Others	X	33.737	-118.2923
231805325	01/26/2023 12:00:00 AM	01/01/2020 12:00:00 AM	1200	18	Southeast	1834	2	812	2	M	B	33.9383	-118.263
221817884	09/23/2022 12:00:00 AM	06/22/2020 12:00:00 AM	1220	18	Southeast	1829	2	354	43	F	H	33.9463	-118.235
231604399	01/12/2023 12:00:00 AM	01/12/2020 12:00:00 AM	850	16	Foothill	1621	2	354	21	M	H	34.2632	-118.431
221915337	10/05/2022 12:00:00 AM	07/08/2020 12:00:00 AM	600	19	Mission	1921	1	121	38	F	H	34.3008	-118.4749
221004960	01/26/2022 12:00:00 AM	11/01/2020 12:00:00 AM	1300	10	West Valley	1091	2	810	14	F	W	34.1521	-118.5594
231510763	06/08/2023 12:00:00 AM	04/01/2020 12:00:00 AM	2005	15	N Hollywood	1506	2	354	44	F	W	34.2048	-118.3703
231106617	03/09/2023 12:00:00 AM	08/06/2020 12:00:00 AM	845	11	Northeast	1147	2	354	58	F	W	34.1036	-118.2267
221420690	11/16/2022 12:00:00 AM	11/14/2020 12:00:00 AM	1730	14	Pacific	1433	1	440	52	M	W	33.9947	-118.4517
231307252	03/03/2023 12:00:00 AM	07/05/2020 12:00:00 AM	2305	13	Newton	1391	2	354	22	F	B	33.9789	-118.2795
230516282	11/28/2023 12:00:00 AM	11/18/2020 12:00:00 AM	1200	5	Harbor	513	1	420	0			33.7862	-118.2908
