"Crm Cd",LAT,LON
354,34.1493,-118.3682
354,34.0986,-118.388
627,34.288,-118.4971
420,34.2285,-118.4958
900,34.0385,-118.3213
354,34.1976,-118.4574
354,34.1812,-118.3921
354,34.1028,-118.3158
354,34.104,-118.3755
740,34.296,-118.5502
331,33.9428,-118.2784
236,34.0124,-118.4276
354,34.0177,-118.2525
354,34.0472,-118.3116
354,34.2966,-118.4644
354,34.1667,-118.402
354,34.2286,-118.3608
668,34.3045,-118.5155
354,33.9519,-118.2762
354,34.163,-118.3706
956,34.0408,-118.3115
354,33.9915,-118.2959
354,34.261,-118.4848
354,34.1739,-118.4334
354,34.098,-118.3237
354,34.0293,-118.2526
627,34.1939,-118.4924
354,33.9455,-118.287
121,34.2831,-118.5807
354,34.0228,-118.3002
330,34.0495,-118.2459
956,34.0649,-118.3525
745,34.0358,-118.2345
354,34.1036,-118.2983
860,34.1894,-118.5074
354,34.0275,-118.2915
626,34.0509,-118.2979
354,34.0688,-118.3552
860,34.0702,-118.2741
745,34.0509,-118.2937
940,34.2184,-118.4547
354,34.1903,-118.4399
440,34.0662,-118.3506
354,34.2102,-118.6355
354,34.0817,-118.3206
354,34.2068,-118.5197
354,34.2591,-118.5233
627,34.2393,-118.609
354,33.9618,-118.3025
310,33.9918,-118.4446
354,34.0011,-118.2718
668,33.9472,-118.3909
662,34.1719,-118.5682
626,33.9924,-118.272
121,33.9892,-118.3089
626,34.2854,-118.5601
341,34.0998,-118.3288
354,34.0171,-118.3329
354,34.0795,-118.2729
354,34.2184,-118.4547
354,34.1775,-118.536
812,33.9309,-118.2586
354,34.2427,-118.5976
354,34.0764,-118.5628
626,33.9718,-118.2783
354,33.8335,-118.3017
812,34.3063,-118.423
354,33.9455,-118.3093
956,33.7731,-118.2749
341,34.0999,-118.3643
354,34.0645,-118.2432
121,33.9943,-118.408
354,34.0487,-118.4426
310,33.8291,-118.3065
434,34.0634,-118.3657
354,34.272,-118.4978
666,34.0109,-118.3067
860,33.9456,-118.3797
354,34.1017,-118.3224
649,34.0982,-118.294
354,33.996,-118.3309
956,34.0121,-118.3423
121,33.9537,-118.2739
510,34.194,-118.3768
354,33.9628,-118.2739
354,34.2485,-118.2671
354,34.1723,-118.536
626,34.0593,-118.1959
354,34.0736,-118.3486
354,33.9756,-118.2739
354,34.1681,-118.3725
956,34.088,-118.1998
354,34.0569,-118.254
354,33.993,-118.2446
354,33.9637,-118.2651
354,34.2147,-118.5142
354,34.1537,-118.5905
354,33.9916,-118.2628
330,34.2389,-118.4449
354,34.0491,-118.2823
354,34.0599,-118.2426
341,34.1696,-118.6102
510,33.964,-118.2739
440,33.9826,-118.4681
354,33.9682,-118.3287
330,34.0104,-118.3398
510,33.9527,-118.3058
354,34.0799,-118.3034
354,34.1122,-118.2077
354,34.266,-118.3004
354,33.9991,-118.4721
354,33.9399,-118.2362
812,33.9884,-118.4177
420,34.1994,-118.4837
354,34.0513,-118.4659
354,34.0408,-118.2644
354,34.0821,-118.1811
354,34.0878,-118.2151
420,34.0689,-118.3419
845,34.118,-118.2489
354,34.2039,-118.5808
649,34.2012,-118.4444
354,33.9505,-118.3154
812,34.069,-118.3104
354,34.1907,-118.5753
354,34.2062,-118.5076
662,34.2754,-118.4782
354,34.1141,-118.2451
354,34.312,-118.4382
627,34.2139,-118.3703
354,33.996,-118.2565
510,34.0414,-118.3825
354,34.0419,-118.3572
354,33.7596,-118.2953
956,33.7897,-118.2787
354,33.9851,-118.2739
812,33.7442,-118.2901
624,34.2704,-118.4162
440,34.0642,-118.3091
354,34.1074,-118.3786
354,33.9863,-118.3264
354,34.0157,-118.2509
354,33.9563,-118.3069
815,33.9932,-118.2897
510,34.2537,-118.4698
815,34.1161,-118.271
354,34.1939,-118.4574
354,33.993,-118.2478
354,33.9718,-118.2765
354,34.0495,-118.3215
354,33.9861,-118.2696
624,34.2318,-118.5711
810,33.7297,-118.2858
354,34.2222,-118.5885
812,34.2246,-118.4654
440,34.0365,-118.3734
354,33.9786,-118.2761
354,34.0363,-118.5298
740,34.1794,-118.4094
956,34.2246,-118.5885
354,34.2552,-118.4225
354,34.0431,-118.2196
354,34.1,-118.2819
510,34.0284,-118.24
627,33.9993,-118.2432
354,34.1558,-118.4498
354,34.1395,-118.4051
354,34.0467,-118.252
354,34.2653,-118.4269
354,34.2143,-118.5534
354,34.0526,-118.3004
354,34.2607,-118.6025
310,34.1757,-118.4662
354,33.9356,-118.2652
354,33.9774,-118.2783
354,34.0269,-118.4037
354,34.0215,-118.3515
815,34.0726,-118.3029
354,34.001,-118.2766
510,34.0344,-118.2915
331,33.7932,-118.2659
354,34.0553,-118.3965
354,34.0559,-118.3066
662,33.9746,-118.3068
352,34.0276,-118.3293
354,34.0169,-118.2915
662,34.2107,-118.5754
354,34.215,-118.6503
626,33.9994,-118.2543
510,34.2103,-118.3943
236,34.0326,-118.3941
354,33.9818,-118.3221
354,34.0999,-118.3594
354,34.0017,-118.2838
235,34.212,-118.5754
354,34.1486,-118.4042
354,34.1867,-118.4117
354,34.0142,-118.2915
440,34.0853,-118.3288
354,34.0929,-118.3048
354,34.1896,-118.5515
220,34.0799,-118.3068
420,33.9451,-118.2482
649,34.0908,-118.3201
310,34.0394,-118.385
845,34.0522,-118.2434
121,34.0943,-118.3415
230,34.0818,-118.2917
121,34.1072,-118.277
668,33.9322,-118.37
354,34.2273,-118.4207
354,33.9789,-118.2795
661,34.1922,-118.366
740,34.2198,-118.4278
354,34.0667,-118.2729
354,33.9821,-118.3318
354,34.0981,-118.3577
956,34.0737,-118.3029
440,34.1317,-118.3806
354,34.1226,-118.1753
341,34.0647,-118.43
510,33.9661,-118.2849
354,34.0133,-118.3487
354,33.9718,-118.3309
354,33.9542,-118.2684
810,33.9455,-118.309
654,34.2552,-118.5551
235,34.0685,-118.2843
330,34.1792,-118.5904
310,34.1903,-118.4676
661,34.2392,-118.5696
330,34.2554,-118.5361
354,33.8907,-118.2916
956,34.1849,-118.412
236,33.9888,-118.4746
330,34.0935,-118.1856
648,34.23,-118.442
956,34.0998,-118.349
845,33.9645,-118.2827
354,34.2944,-118.451
354,34.0709,-118.2941
845,34.0448,-118.2474
121,34.1902,-118.5335
845,34.118,-118.2489
354,34.2066,-118.4815
354,34.0983,-118.2436
354,33.9527,-118.3058
354,34.073,-118.2513
354,34.2286,-118.5885
624,34.0635,-118.311
354,34.1797,-118.4014
442,34.0981,-118.3103
354,34.0577,-118.2941
354,34.0466,-118.259
821,34.1758,-118.3643
354,34.0894,-118.4418
354,34.0328,-118.323
354,34.1039,-118.2014
740,34.193,-118.4378
354,34.0613,-118.2765
354,34.3184,-118.467
812,34.1817,-118.4509
510,34.0172,-118.4148
626,34.0123,-118.4328
354,34.0559,-118.3042
354,33.9669,-118.2813
310,34.2319,-118.5425
354,34.0564,-118.3131
354,34.1611,-118.3723
922,34.2177,-118.5317
354,34.2457,-118.385
354,34.0506,-118.3127
649,34.046,-118.4652
354,34.1034,-118.3325
510,22,338
