DR_NO,Vict Age,Vict Sex,Vict Descent
221712136,38,M,W
220411367,78,F,H
221008921,28,F,H
220612869,56,M,W
220205125,34,F,O
221710846,22,F,H
222015061,26,F,B
221007622,16,F,H
221319245,27,M,H
222008290,64,M,A
221005077,51,F,A
220306883,21,F,W
220914511,57,F,H
220909498,34,F,H
222110697,34,F,W
221700604,81,M,W
221706646,19,F,A
222110395,44,F,O
221711259,73,F,H
220707786,34,M,H
220510235,37,F,H
221009623,65,M,W
220205866,68,F,H
221010790,67,F,H
221713424,50,F,W
220314924,32,M,B
221807732,0,F,H
221712203,60,F,W
220205865,70,M,H
221006746,36,F,H
221713426,42,F,H
221323134,74,F,H
221009673,71,F,O
222015949,69,F,O
221011174,51,F,W
220312519,32,M,B
220219765,36,F,H
221011199,35,F,H
221708012,30,F,W
220220199,21,M,O
221710572,44,F,H
222008207,64,M,K
222113267,35,F,B
220411998,34,F,W
221012117,39,F,W
221009697,65,M,W
221214896,48,F,H
220915961,35,F,O
221713428,50,F,W
221013970,39,F,H
220307689,62,F,H
221005766,29,F,H
220314936,18,F,H
221010657,40,M,W
221006917,55,M,O
221008316,38,F,H
221710547,60,F,W
221708694,53,F,B
220916701,45,F,H
220409092,28,F,H
220218060,54,F,W
221222527,26,M,H
220210763,38,F,B
221319556,36,F,H
221012760,31,F,H
222116704,33,M,H
220407770,44,M,H
221010664,55,M,O
221807745,28,F,H
220411931,78,F,H
220210779,33,F,H
221907392,26,F,H
221800685,16,F,H
221301102,43,F,H
221705133,46,F,A
220219430,26,F,H
221915529,63,F,W
222005885,43,F,H
221007216,44,F,W
222013786,40,F,H
220308629,34,F,B
222013623,33,F,H
220312011,66,F,B
222018745,57,F,H
221509062,37,F,O
221013954,35,F,H
221223477,41,F,H
221614659,29,F,H
221006216,28,F,H
221310554,38,F,B
220513448,35,F,B
221813232,73,F,H
221709600,32,M,H
220218272,26,F,B
220220198,54,F,O
231406389,43,F,H
230317576,49,M,H
231308127,0,F,H
231517699,37,M,O
230210884,31,F,H
232008902,30,M,H
231614714,20,F,H
231110179,43,F,W
230612815,22,F,B
230412960,0,F,H
231104510,34,F,H
231812684,41,F,H
230211201,39,F,H
231609767,31,F,A
230911688,29,M,H
231912026,55,F,H
230314299,22,F,H
230115540,40,F,H
231519480,51,F,H
231613409,22,F,H
231111870,28,M,H
231708376,52,F,W
231917423,37,F,H
231516326,48,F,H
231305410,69,F,H
232108187,40,F,H
231111369,42,F,W
231614143,53,F,O
230307117,39,F,H
231808171,38,F,B
231008146,30,M,H
231711564,37,M,W
231709199,26,F,H
231612692,19,F,H
230516151,67,M,W
231016696,38,M,W
231519454,51,M,H
231613910,31,F,O
231815012,45,F,B
230516414,16,F,H
230912960,37,F,W
231611824,72,M,W
230607956,54,F,B
230317663,18,M,W
232113471,44,M,O
231712724,48,F,B
231615304,44,F,O
