DR_NO,AREA,AREA NAME,Rpt Dist No,LOCATION,Cross Street,LAT,LON,,,,,,,,,,,,,,,
200111423,1,Central,191,18TH ST,GEORGIA,34.0363,-118.2733,,,,,,,,,,,,,,,
201307616,13,Newton,1371,54TH ST,BROADWAY AV,33.9933,-118.2783,,,,,,,,,,,,,,,
201714209,17,Devonshire,1767,OSO AV,PRAIRIE ST,34.2442,-118.5362,,,,,,,,,,,,,,,
201811487,18,Southeast,1826,99TH ST,COMPTON AV,33.947,-118.2462,,,,,,,,,,,,,,,
201811722,18,Southeast,1822,300 W 102ND ST,,33.9437,-118.2784,,,,,,,,,,,,,,,
200614971,6,Hollywood,648,ST ANDREWS PL,SUNSET BL,34.1,-118.3113,,,,,,,,,,,,,,,
200118991,1,Central,143,5TH ST,BROADWAY,34.0481,-118.2507,,,,,,,,,,,,,,,
201817785,18,Southeast,1806,9000 S CENTRAL AV,,33.9539,-118.2564,,,,,,,,,,,,,,,
200320094,3,Southwest,398,VERNON AV,FIGUEROA ST,34.0038,-118.2827,,,,,,,,,,,,,,,
201819549,18,Southeast,1802,200 W 90TH ST,,33.9546,-118.2763,,,,,,,,,,,,,,,
201311731,13,Newton,1351,4000 BROADWAY PL,,34.0106,-118.2777,,,,,,,,,,,,,,,
201320916,13,Newton,1327,COMPTON AV,ADAMS BL,34.0172,-118.2442,,,,,,,,,,,,,,,
200310593,3,Southwest,331,ADAMS BL,LONGWOOD AV,34.0325,-118.3492,,,,,,,,,,,,,,,
200908938,9,Van Nuys,974,4600 KESTER AV,,34.1546,-118.4574,,,,,,,,,,,,,,,
202012538,20,Olympic,2019,BEVERLY,VIRGIL,34.0748,-118.2868,,,,,,,,,,,,,,,
201406559,14,Pacific,1424,11700 NATIONAL BL,,34.0227,-118.4387,,,,,,,,,,,,,,,
201515700,15,N Hollywood,1557,VINELAND,HESBY,34.162,-118.3703,,,,,,,,,,,,,,,
201806995,18,Southeast,1827,9900 GRAHAM AV,,33.9465,-118.243,,,,,,,,,,,,,,,
201420156,14,Pacific,1457,4700 CAMPBELL DR,,33.9901,-118.4183,,,,,,,,,,,,,,,
201226482,12,77th Street,1283,10300 S WESTERN AV,,33.9418,-118.309,,,,,,,,,,,,,,,
201116185,11,Northeast,1172,1600 GLENDALE BL,,34.0882,-118.2646,,,,,,,,,,,,,,,
202010970,20,Olympic,2034,W 8TH ST,IROLO,34.0577,-118.3009,,,,,,,,,,,,,,,
200410143,4,Hollenbeck,423,1900 SICHEL ST,,34.066,-118.2129,,,,,,,,,,,,,,,
201218464,12,77th Street,1215,1100 W 58TH ST,,33.9897,-118.2938,,,,,,,,,,,,,,,
200814286,8,West LA,803,MANDEVILLE CANYON,KIMBERLY LN,34.0681,-118.4942,,,,,,,,,,,,,,,
200604228,6,Hollywood,646,6500 HOLLYWOOD BL,,34.1016,-118.331,,,,,,,,,,,,,,,
200100528,1,Central,112,FIGUEROA,TEMPLE,34.0606,-118.2477,,,,,,,,,,,,,,,
200610707,6,Hollywood,679,SANTA MONICA BL,SAINT ANDREWS PL,34.0886,-118.3027,,,,,,,,,,,,,,,
200315717,3,Southwest,313,4200 W ADAMS BL,,34.0326,-118.3319,,,,,,,,,,,,,,,
200708243,7,Wilshire,723,7900 BEVERLY BL,,34.0761,-118.3614,,,,,,,,,,,,,,,
200610221,6,Hollywood,643,7200 W HOLLYWOOD BL,,34.1016,-118.3471,,,,,,,,,,,,,,,
201820284,18,Southeast,1841,111TH ST,VERMONT AV,33.9346,-118.2916,,,,,,,,,,,,,,,
201113033,11,Northeast,1136,4000 EAGLE ROCK BL,,34.12,-118.2288,,,,,,,,,,,,,,,
200618841,6,Hollywood,645,HIGHLAND,HOLLYWOOD,34.1016,-118.3387,,,,,,,,,,,,,,,
200713873,7,Wilshire,784,21ST ST,ORANGE DR,34.0389,-118.3505,,,,,,,,,,,,,,,
201909405,19,Mission,1983,8400 SEPULVEDA BL,,34.2231,-118.4677,,,,,,,,,,,,,,,
200515177,5,Harbor,525,500 N AVALON BL,,33.7739,-118.2678,,,,,,,,,,,,,,,
