DR_NO,AREA,AREA NAME,Rpt Dist No,LOCATION,Cross Street,LAT,LON,,,,,,,,,,,,,,,,
211714791,17,Devonshire,1781,20900 GRESHAM ST,,34.2306,-118.5895,,,,,,,,,,,,,,,,
211509856,15,N Hollywood,1585,ARCH ST,VENTURA BL,34.1419,-118.3741,,,,,,,,,,,,,,,,
211909490,19,Mission,1966,14500 NORDHOFF ST,,34.2386,-118.4464,,,,,,,,,,,,,,,,
212001034,20,Olympic,2046,900 S CATALINA ST,,34.0545,-118.2954,,,,,,,,,,,,,,,,
211222387,12,77th Street,1207,VERNON AV,VERMONT AV,34.0037,-118.2916,,,,,,,,,,,,,,,,
211710672,17,Devonshire,1779,15700 SUPERIOR ST,,34.2464,-118.474,,,,,,,,,,,,,,,,
211315486,13,Newton,1346,1100 E VERNON AV,,34.006,-118.2513,,,,,,,,,,,,,,,,
210704458,7,Wilshire,775,1600 S RIMPAU BL,,34.0427,-118.3423,,,,,,,,,,,,,,,,
211005553,10,West Valley,1005,17800 BLYTHE ST,,34.215,-118.5209,,,,,,,,,,,,,,,,
211311623,13,Newton,1307,700 S SAN PEDRO ST,,34.0405,-118.247,,,,,,,,,,,,,,,,
211714712,17,Devonshire,1743,18600 DEVONSHIRE ST,,34.2609,-118.5346,,,,,,,,,,,,,,,,
210918013,9,Van Nuys,901,15300 SHERMAN WY,,34.2012,-118.4725,,,,,,,,,,,,,,,,
210314002,3,Southwest,326,27TH ST,HALLDALE AV,34.0309,-118.3028,,,,,,,,,,,,,,,,
211206052,12,77th Street,1283,9400 S WESTERN AV,,33.9495,-118.309,,,,,,,,,,,,,,,,
211404767,14,Pacific,1474,8100 FORDHAM RD,,33.9647,-118.4188,,,,,,,,,,,,,,,,
211320491,13,Newton,1375,1400 E 55TH ST,,33.993,-118.2499,,,,,,,,,,,,,,,,
211218957,12,77th Street,1256,500 W 74TH ST,,33.9727,-118.2827,,,,,,,,,,,,,,,,
210801025,8,West LA,889,2000 S BEDFORD ST,,34.0401,-118.3841,,,,,,,,,,,,,,,,
210816251,8,West LA,853,11400 IOWA AV,,34.0439,-118.4498,,,,,,,,,,,,,,,,
220604558,6,Hollywood,646,SUNSET,VINE,34.098,-118.3266,,,,,,,,,,,,,,,,
210309476,3,Southwest,359,FIGUEROA,EXPOSITION,34.0182,-118.2824,,,,,,,,,,,,,,,,
211312533,13,Newton,1371,200 W 57TH ST,,33.9906,-118.2757,,,,,,,,,,,,,,,,
210715536,7,Wilshire,753,1000 S FAIRFAX AV,,34.0578,-118.364,,,,,,,,,,,,,,,,
210310497,3,Southwest,326,2700 BRIGHTON AV,,34.0291,-118.3015,,,,,,,,,,,,,,,,
210409490,4,Hollenbeck,417,4100 CANTO DR,,34.0779,-118.1944,,,,,,,,,,,,,,,,
210913748,9,Van Nuys,985,4500 VAN NUYS BL,,34.1531,-118.4487,,,,,,,,,,,,,,,,
211104152,11,Northeast,1115,COLORADO,BROADWAY,34.1367,-118.2089,,,,,,,,,,,,,,,,
212117457,21,Topanga,2175,22700 VENTURA BL,,34.1667,-118.6211,,,,,,,,,,,,,,,,
211519230,15,N Hollywood,1521,HART ST,FULTON AV,34.1976,-118.4225,,,,,,,,,,,,,,,,
211408642,14,Pacific,1412,00 ROSE AV,,33.9946,-118.4805,,,,,,,,,,,,,,,,
210407729,4,Hollenbeck,462,2100 WHITTIER BL,,34.0365,-118.2205,,,,,,,,,,,,,,,,
210313086,3,Southwest,319,ADAMS BL,FIGUEROA ST,34.0282,-118.276,,,,,,,,,,,,,,,,
211204998,12,77th Street,1267,83RD ST,FIGUEROA ST,33.9632,-118.2827,,,,,,,,,,,,,,,,
210508970,5,Harbor,566,300 W 11TH ST,,33.7342,-118.284,,,,,,,,,,,,,,,,
210610755,6,Hollywood,645,HOLLYWOOD,WESTERN,34.1006,-118.3417,,,,,,,,,,,,,,,,
211301168,13,Newton,1393,67TH ST,MAIN ST,33.979,-118.2739,,,,,,,,,,,,,,,,
211804805,18,Southeast,1806,8900 S CENTRAL AV,,33.9547,-118.2564,,,,,,,,,,,,,,,,
211405601,14,Pacific,1475,8100 STEWART AV,,33.9646,-118.4091,,,,,,,,,,,,,,,,
210109019,1,Central,162,9TH ST,HILL ST,34.0433,-118.2577,,,,,,,,,,,,,,,,
211607845,16,Foothill,1622,DEL SUR,HADDON,34.2697,-118.4378,,,,,,,,,,,,,,,,
211300982,13,Newton,1347,1600 E MARTIN LUTHER KING JR BL,,34.0108,-118.2475,,,,,,,,,,,,,,,,
210118748,1,Central,159,4TH,ALAMEDA,34.0433,-118.2381,,,,,,,,,,,,,,,,
211604355,16,Foothill,1698,10700 ROSCOE BL,,34.2214,-118.3635,,,,,,,,,,,,,,,,
211304049,13,Newton,1352,VERNON,AVALON BL,34.0039,-118.2653,,,,,,,,,,,,,,,,
210207586,2,Rampart,269,700 GARLAND AV,,34.0496,-118.2677,,,,,,,,,,,,,,,,
211609946,16,Foothill,1669,6500 FOOTHILL BL,,34.245,-118.2735,,,,,,,,,,,,,,,,
210300952,3,Southwest,376,NORMANDIE AV,39TH ST,34.0155,-118.3002,,,,,,,,,,,,,,,,
210215594,2,Rampart,256,WILSHIRE,UNION AV,34.0554,-118.2702,,,,,,,,,,,,,,,,
211200682,12,77th Street,1231,3800 W 58TH PL,,33.988,-118.3399,,,,,,,,,,,,,,,,
210917167,9,Van Nuys,941,HATTERAS ST,KESTER AV,34.1757,-118.4574,,,,,,,,,,,,,,,,
210217556,2,Rampart,275,WESTLAKE AV,OLYMPIC,34.0512,-118.2787,,,,,,,,,,,,,,,,
210705672,7,Wilshire,774,1700 S MANSFIELD AV,,34.0427,-118.3478,,,,,,,,,,,,,,,,
212001010,20,Olympic,2004,OXFORD AV,MAPLEWOOD ST,34.0799,-118.308,,,,,,,,,,,,,,,,
211221812,12,77th Street,1239,S FIGUEROA ST,W 70TH ST,33.9863,-118.2881,,,,,,,,,,,,,,,,
210212734,2,Rampart,204,MADISON ST,MIDDLEBURY AV,34.0857,-118.2812,,,,,,,,,,,,,,,,
210317392,3,Southwest,356,3600 S NORMANDIE AV,,34.0219,-118.3045,,,,,,,,,,,,,,,,
210120880,1,Central,141,4TH ST,FIGUEROA ST,34.0538,-118.256,,,,,,,,,,,,,,,,
210318438,3,Southwest,375,1600 W 38TH PL,,34.0164,-118.311,,,,,,,,,,,,,,,,
211914385,19,Mission,1983,15300 ROSCOE BL,,34.2249,-118.4637,,,,,,,,,,,,,,,,
211816190,18,Southeast,1801,90TH ST,FIGUEROA ST,33.9551,-118.2827,,,,,,,,,,,,,,,,
210110745,1,Central,156,500 WALL ST,,34.044,-118.2467,,,,,,,,,,,,,,,,
210517523,5,Harbor,566,300 W 9TH ST,,33.736,-118.284,,,,,,,,,,,,,,,,
211904980,19,Mission,1936,11400 ACALA AV,,34.2773,-118.4495,,,,,,,,,,,,,,,,
211312187,13,Newton,1345,34TH ST,NAOMI AV,34.0128,-118.2541,,,,,,,,,,,,,,,,
210610803,6,Hollywood,676,VINE AV,CAMERFORD AV,34.0844,-118.3266,,,,,,,,,,,,,,,,
